0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
12.821,21.37,55.57,40.3,18.32,58.01,26.87,23.2
13.431,21.98,56.18,40.91,17.71,58.01,26.87,22.59
13.431,21.98,55.57,40.91,17.71,57.4,26.26,22.59
13.431,21.98,55.57,40.91,18.32,58.01,26.87,22.59
13.431,21.98,55.57,40.91,18.32,58.63,26.26,22.59
13.431,21.98,56.18,40.91,17.71,57.4,26.26,22.59
13.431,21.98,55.57,40.91,18.32,58.63,26.87,23.2
13.431,21.98,55.57,40.91,18.32,58.01,26.26,21.98
13.431,21.98,56.18,40.91,18.93,58.01,26.26,23.2
13.431,22.59,56.18,40.91,18.93,58.63,26.26,22.59
14.041,21.98,56.18,41.52,18.93,59.24,26.26,23.2
13.431,22.59,56.18,41.52,18.93,58.01,26.26,23.2
14.041,23.2,56.18,41.52,18.93,58.63,25.65,23.2
14.041,23.2,56.18,41.52,19.54,58.01,26.26,22.59
14.041,23.2,56.18,41.52,19.54,58.01,26.26,23.2
14.041,23.2,56.18,41.52,19.54,58.63,25.65,23.82
14.651,23.2,56.18,41.52,20.15,58.01,25.65,23.2
14.651,23.81,56.79,41.52,20.15,58.63,25.65,23.82
14.651,23.2,56.79,41.52,20.76,58.63,25.65,24.43
14.651,23.81,56.79,42.13,20.15,58.63,25.65,24.43
15.271,24.42,52.52,35.42,20.76,58.01,25.65,25.04
14.651,25.03,50.69,32.97,20.76,58.63,25.65,24.43
14.041,23.81,50.69,32.97,20.76,59.24,26.26,25.04
13.431,23.2,51.3,34.19,20.76,59.24,25.65,25.04
12.821,23.2,51.3,34.8,21.37,58.63,26.26,25.04
12.821,22.59,51.91,35.42,20.76,54.96,26.26,25.04
13.431,22.59,52.52,36.03,17.71,54.35,25.65,25.04
13.431,21.98,51.91,36.03,16.49,55.57,28.7,27.48
13.431,21.98,51.91,36.64,15.27,56.18,31.14,29.31
13.431,21.98,51.3,36.03,15.27,56.18,32.97,31.14
13.431,21.98,51.3,35.42,15.88,56.79,34.81,32.36
13.431,20.76,51.3,34.8,15.88,57.4,35.42,32.98
13.431,21.37,51.3,34.19,15.88,56.79,36.03,34.2
14.041,21.37,50.69,33.58,15.88,56.79,36.638,34.2
13.431,21.37,50.69,33.58,15.88,56.79,36.638,34.2
14.041,20.15,50.69,32.97,16.49,56.18,36.03,33.59
14.041,20.76,50.08,32.36,16.49,55.57,36.638,32.98
14.041,20.15,50.08,31.14,16.49,55.57,36.638,32.36
14.041,20.15,49.47,30.53,16.49,55.57,36.03,30.53
14.651,20.76,50.08,31.14,17.1,54.35,34.81,29.92
14.651,20.76,50.08,30.53,16.49,54.35,34.81,28.09
15.271,20.76,50.08,29.92,16.49,54.35,33.58,26.87
15.271,20.76,50.08,29.31,16.49,53.13,32.36,25.65
15.271,20.76,49.47,28.7,16.49,53.13,31.14,25.04
14.651,20.76,50.08,28.7,16.49,52.52,30.53,23.2
15.271,20.76,50.69,28.09,16.49,51.91,29.92,21.98
15.881,20.76,49.47,27.48,16.49,52.52,28.09,20.76
15.881,20.76,49.47,27.48,16.49,51.91,26.87,19.54
15.881,20.15,50.08,26.87,17.1,50.69,25.65,18.32
15.881,20.76,50.08,26.87,16.49,50.69,24.43,17.1
16.491,20.76,50.08,25.64,16.49,50.08,23.81,16.49
16.491,20.15,50.69,25.64,16.49,50.08,22.59,15.27
17.101,20.15,50.69,25.03,16.49,50.08,20.76,14.66
17.101,20.76,50.08,24.42,17.1,49.47,20.15,14.04
16.491,20.15,50.69,25.03,17.1,49.47,19.54,13.43
17.711,20.76,50.69,23.81,17.1,48.85,18.93,13.43
17.711,20.15,50.69,24.42,17.1,49.47,17.71,13.43
18.321,20.15,50.69,23.81,17.1,48.85,16.49,12.21
17.711,20.76,50.69,23.81,17.71,48.85,16.49,12.21
17.711,21.37,51.3,23.2,17.71,48.85,15.88,11.6
18.931,21.37,50.69,23.81,17.71,49.47,15.27,12.21
18.931,21.98,51.91,23.2,18.32,48.85,15.27,10.99
18.931,21.37,51.3,23.81,18.32,48.24,14.65,11.6
18.931,21.37,51.3,23.2,18.32,48.24,14.04,10.99
19.541,21.37,51.91,23.2,18.32,48.85,14.04,10.99
19.541,21.98,51.91,22.59,18.93,48.85,13.43,11.6
19.541,21.98,51.91,22.59,18.32,49.47,13.43,11.6
19.541,22.59,51.91,22.59,18.93,48.85,13.43,11.6
20.761,21.98,51.91,21.98,19.54,48.85,13.43,11.6
20.151,22.59,52.52,22.59,19.54,48.85,13.43,12.21
20.151,22.59,52.52,22.59,19.54,49.47,12.82,12.82
20.761,22.59,52.52,22.59,20.15,49.47,12.82,12.82
20.761,22.59,52.52,22.59,20.15,49.47,12.21,13.43
21.371,22.59,53.13,21.98,20.76,50.08,12.21,14.04
20.761,22.59,53.13,21.98,21.37,49.47,12.82,14.66
21.371,23.2,52.52,21.98,21.37,49.47,13.43,15.27
21.371,23.2,53.74,21.98,21.37,50.08,13.43,16.49
20.761,23.2,53.74,21.98,21.37,50.08,14.04,16.49
